k_train_datasets,train_set,test_dataset,best_threshold,precision,recall,TP,FP,FN,TN,old_ber,new_ber,ber_reduction
2,crp_dataset_8_1_8.csv|crp_dataset_8_1_2.csv,crp_dataset_8_1_7.csv,0.6164806,0.9672131147382425,0.26818181818059916,59,2,161,34,0.0095703125,0.001639344262295082,0.007930968237704918
2,crp_dataset_8_1_8.csv|crp_dataset_8_1_2.csv,crp_dataset_8_1_1.csv,0.6164806,0.777777777691358,0.055555555555114634,7,2,119,128,0.0252685546875,0.009722222222222222,0.015546332465277778
2,crp_dataset_8_1_8.csv|crp_dataset_8_1_2.csv,crp_dataset_8_1_6.csv,0.6164806,0.6923076922544379,0.0642857142852551,9,4,131,112,0.026928710937500003,0.018750000000000003,0.0081787109375
2,crp_dataset_8_1_8.csv|crp_dataset_8_1_7.csv,crp_dataset_8_1_5.csv,0.60197306,0.6470588235217993,0.5499999999945,55,30,45,126,0.039282226562499994,0.011544117647058823,0.02773810891544117
2,crp_dataset_8_1_8.csv|crp_dataset_8_1_7.csv,crp_dataset_8_1_4.csv,0.60197306,0.4714285714252041,0.5038167938892839,66,74,65,51,0.023046875,0.025848214285714287,-0.0028013392857142855
2,crp_dataset_8_1_8.csv|crp_dataset_8_1_7.csv,crp_dataset_8_1_3.csv,0.60197306,0.7454545454500277,0.7109826589554279,123,42,50,41,0.019604492187500003,0.01678030303030303,0.002824189157196972
2,crp_dataset_8_1_8.csv|crp_dataset_8_1_7.csv,crp_dataset_8_1_2.csv,0.60197306,0.49162011172909714,0.7394957983131134,88,91,31,46,0.03945312499999999,0.03949022346368715,-3.709846368715741e-05
2,crp_dataset_8_1_8.csv|crp_dataset_8_1_7.csv,crp_dataset_8_1_1.csv,0.60197306,0.6355932203335967,0.5952380952333711,75,43,51,87,0.0252685546875,0.021292372881355933,0.003976181806144067
2,crp_dataset_8_1_8.csv|crp_dataset_8_1_7.csv,crp_dataset_8_1_6.csv,0.60197306,0.4842767295567027,0.5499999999960715,77,82,63,34,0.026928710937500003,0.03160377358490566,-0.0046750626474056575
2,crp_dataset_8_1_8.csv|crp_dataset_8_1_1.csv,crp_dataset_8_1_5.csv,0.6281382,0.8450704225233088,0.599999999994,60,11,40,145,0.039282226562499994,0.004577464788732394,0.0347047617737676
