k_train_datasets,train_pct,test_pct,train_set,test_dataset,best_threshold,precision,recall,TP,FP,FN,TN,old_ber,new_ber,ber_reduction
2,0.5,1.0,crp_dataset_8_1_3.csv|crp_dataset_8_1_6.csv,crp_dataset_8_1_4.csv,0.81910574,0.9896907216392815,0.7328244274753221,96,1,35,124,0.023046875,0.00019329896907216497,0.022853576030927837
2,0.5,1.0,crp_dataset_8_1_3.csv|crp_dataset_8_1_6.csv,crp_dataset_8_1_5.csv,0.81910574,0.9999999999285715,0.1399999999986,14,0,86,156,0.039282226562499994,0.0,0.039282226562499994
2,0.5,1.0,crp_dataset_8_1_1.csv|crp_dataset_8_1_8.csv,crp_dataset_8_1_3.csv,0.6751018,0.9705882352798443,0.3815028901712052,66,2,107,81,0.0196044921875,0.001838235294117647,0.017766256893382352
2,0.5,1.0,crp_dataset_8_1_1.csv|crp_dataset_8_1_8.csv,crp_dataset_8_1_7.csv,0.6751018,0.9999999999907407,0.4909090909068595,108,0,112,36,0.0095703125,0.00028935185185185184,0.00928096064814815
2,0.5,1.0,crp_dataset_8_1_1.csv|crp_dataset_8_1_8.csv,crp_dataset_8_1_2.csv,0.6751018,0.9230769230532545,0.30252100840081914,36,3,83,134,0.039453125,0.013942307692307695,0.025510817307692304
2,0.5,1.0,crp_dataset_8_1_1.csv|crp_dataset_8_1_8.csv,crp_dataset_8_1_4.csv,0.6751018,0.9999999999857142,0.534351145034089,70,0,61,125,0.023046875,0.00026785714285714287,0.02277901785714286
2,0.5,1.0,crp_dataset_8_1_1.csv|crp_dataset_8_1_8.csv,crp_dataset_8_1_5.csv,0.6751018,0.9999999999814816,0.5399999999946,54,0,46,156,0.039282226562499994,0.0008101851851851853,0.03847204137731481
2,0.5,1.0,crp_dataset_8_1_1.csv|crp_dataset_8_1_8.csv,crp_dataset_8_1_6.csv,0.6751018,0.8684210526087258,0.23571428571260206,33,5,107,111,0.026928710937499996,0.006578947368421052,0.020349763569078944
2,0.5,1.0,crp_dataset_8_1_1.csv|crp_dataset_8_1_7.csv,crp_dataset_8_1_3.csv,0.8918718,0.9824561403422591,0.6473988439268937,112,2,61,81,0.0196044921875,0.0002192982456140351,0.019385193941885964
2,0.5,1.0,crp_dataset_8_1_1.csv|crp_dataset_8_1_7.csv,crp_dataset_8_1_8.csv,0.8918718,0.9999999999285715,0.10144927536158371,14,0,124,118,0.0283203125,0.0026785714285714286,0.02564174107142857
2,0.5,1.0,crp_dataset_8_1_1.csv|crp_dataset_8_1_7.csv,crp_dataset_8_1_2.csv,0.8918718,0.0,0.0,0,0,119,137,0.039453125,,
2,0.5,1.0,crp_dataset_8_1_1.csv|crp_dataset_8_1_7.csv,crp_dataset_8_1_4.csv,0.8918718,0.9999999999891304,0.7022900763305169,92,0,39,125,0.023046875,6.793478260869565e-05,0.022978940217391306
2,0.5,1.0,crp_dataset_8_1_1.csv|crp_dataset_8_1_7.csv,crp_dataset_8_1_5.csv,0.8918718,0.0,0.0,0,0,100,156,0.039282226562499994,,
2,0.5,1.0,crp_dataset_8_1_1.csv|crp_dataset_8_1_7.csv,crp_dataset_8_1_6.csv,0.8918718,0.9999999999868421,0.5428571428532654,76,0,64,116,0.026928710937499996,8.223684210526316e-05,0.026846474095394732
2,0.5,1.0,crp_dataset_8_1_1.csv|crp_dataset_8_1_2.csv,crp_dataset_8_1_3.csv,0.6074529,0.9256756756694212,0.7919075144462896,137,11,36,72,0.0196044921875,0.004856418918918919,0.014748073268581081
2,0.5,1.0,crp_dataset_8_1_1.csv|crp_dataset_8_1_2.csv,crp_dataset_8_1_8.csv,0.6074529,0.6882352941135986,0.8478260869503781,117,53,21,65,0.0283203125,0.014044117647058825,0.014276194852941175
2,0.5,1.0,crp_dataset_8_1_1.csv|crp_dataset_8_1_2.csv,crp_dataset_8_1_7.csv,0.6074529,0.8908296943192541,0.9272727272685124,204,25,16,11,0.0095703125,0.00810589519650655,0.00146441730349345
2,0.5,1.0,crp_dataset_8_1_1.csv|crp_dataset_8_1_2.csv,crp_dataset_8_1_4.csv,0.6074529,0.83999999999328,0.8015267175511335,105,20,26,105,0.023046875,0.0076,0.015446875000000002
2,0.5,1.0,crp_dataset_8_1_1.csv|crp_dataset_8_1_2.csv,crp_dataset_8_1_5.csv,0.6074529,0.8124999999915364,0.7799999999921999,78,18,22,138,0.039282226562499994,0.006901041666666667,0.032381184895833325
2,0.5,1.0,crp_dataset_8_1_1.csv|crp_dataset_8_1_2.csv,crp_dataset_8_1_6.csv,0.6074529,0.9113924050517545,0.5142857142820408,72,7,68,109,0.026928710937499996,0.00490506329113924,0.022023647646360757
2,0.5,1.0,crp_dataset_8_1_1.csv|crp_dataset_8_1_4.csv,crp_dataset_8_1_3.csv,0.61839634,0.9635036496280037,0.7630057803424104,132,5,41,78,0.0196044921875,0.001916058394160584,0.017688433793339415
2,0.5,1.0,crp_dataset_8_1_1.csv|crp_dataset_8_1_4.csv,crp_dataset_8_1_8.csv,0.61839634,0.8608695652099054,0.7173913043426277,99,16,39,102,0.0283203125,0.0042934782608695645,0.024026834239130435
2,0.5,1.0,crp_dataset_8_1_1.csv|crp_dataset_8_1_4.csv,crp_dataset_8_1_7.csv,0.61839634,0.9865470851973698,0.9999999999954546,220,3,0,33,0.0095703125,0.0007006726457399103,0.00886963985426009
2,0.5,1.0,crp_dataset_8_1_1.csv|crp_dataset_8_1_4.csv,crp_dataset_8_1_2.csv,0.61839634,0.9425287356213502,0.6890756302463102,82,5,37,132,0.039453125,0.0020114942528735636,0.037441630747126434
