model,k_train_datasets,train_set,test_dataset,best_threshold,precision,recall,TP,FP,FN,TN,old_ber,new_ber,ber_reduction
RF,2,crp_dataset_8_1_6.csv|crp_dataset_8_1_4.csv,crp_dataset_8_1_3.csv,0.6533333333333333,0.984251968496187,0.7225433525969795,125,2,48,81,0.019604492187500003,0.00019685039370078743,0.019407641793799214
RF,2,crp_dataset_8_1_6.csv|crp_dataset_8_1_4.csv,crp_dataset_8_1_8.csv,0.6533333333333333,0.8999999999899999,0.5869565217348772,81,9,57,109,0.0283203125,0.004097222222222222,0.02422309027777778
RF,2,crp_dataset_8_1_6.csv|crp_dataset_8_1_4.csv,crp_dataset_8_1_5.csv,0.6533333333333333,0.9756097560856632,0.799999999992,80,2,20,154,0.039282226562499994,0.0018292682926829267,0.037452958269817066
RF,2,crp_dataset_8_1_6.csv|crp_dataset_8_1_4.csv,crp_dataset_8_1_7.csv,0.6533333333333333,0.9999999999954546,0.9999999999954546,220,0,0,36,0.0095703125,0.00034090909090909094,0.00922940340909091
RF,2,crp_dataset_8_1_6.csv|crp_dataset_8_1_5.csv,crp_dataset_8_1_2.csv,0.7033333333333334,0.9537037036948731,0.8655462184801215,103,5,16,132,0.03945312499999999,0.0019675925925925924,0.0374855324074074
RF,2,crp_dataset_8_1_6.csv|crp_dataset_8_1_5.csv,crp_dataset_8_1_1.csv,0.7033333333333334,0.9999999999833334,0.4761904761866969,60,0,66,130,0.0252685546875,0.00010416666666666667,0.025164388020833334
RF,2,crp_dataset_8_1_6.csv|crp_dataset_8_1_5.csv,crp_dataset_8_1_3.csv,0.7033333333333334,0.982905982897582,0.6647398843892212,115,2,58,81,0.019604492187500003,0.00021367521367521368,0.01939081697382479
RF,2,crp_dataset_8_1_6.csv|crp_dataset_8_1_5.csv,crp_dataset_8_1_8.csv,0.7033333333333334,0.9682539682385992,0.4420289855040433,61,2,77,116,0.0283203125,0.003273809523809524,0.025046502976190477
RF,2,crp_dataset_8_1_6.csv|crp_dataset_8_1_5.csv,crp_dataset_8_1_4.csv,0.7033333333333334,0.999999999990991,0.8473282442683411,111,0,20,125,0.023046875,0.00028153153153153153,0.02276534346846847
RF,2,crp_dataset_8_1_6.csv|crp_dataset_8_1_5.csv,crp_dataset_8_1_7.csv,0.7033333333333334,0.9999999999954546,0.9999999999954546,220,0,0,36,0.0095703125,0.00034090909090909094,0.00922940340909091
RF,2,crp_dataset_8_1_6.csv|crp_dataset_8_1_7.csv,crp_dataset_8_1_2.csv,0.8263333333333334,0.9425287356213502,0.6890756302463102,82,5,37,132,0.03945312499999999,0.0020114942528735636,0.03744163074712643
