challenge,deltas
11000010,"14.581613,14.581613,14.581613,14.581613,14.581613,14.581613,14.581613,14.581613,14.581613,14.581613"
11000011,"9.019885,9.019885,9.019885,9.019885,9.019885,9.019885,9.019885,9.019885,9.019885,9.019885"
11000100,"5.561790,5.561790,5.561790,5.561790,5.561790,5.561790,5.561790,5.561790,5.561790,5.561790"
11000101,"0.000062,0.000062,0.000062,0.000062,0.000062,0.000062,0.000062,0.000062,0.000062,0.000062"
11000110,"4.260433,4.260433,4.260433,4.260433,4.260433,4.260433,4.260433,4.260433,4.260433,4.260433"
11000111,"-1.301296,-1.301296,-1.301296,-1.301296,-1.301296,-1.301296,-1.301296,-1.301296,-1.301296,-1.301296"
11001000,"14.988829,14.988829,14.988829,14.988829,14.988829,14.988829,14.988829,14.988829,14.988829,14.988829"
11001001,"9.427100,9.427100,9.427100,9.427100,9.427100,9.427100,9.427100,9.427100,9.427100,9.427100"
11001010,"13.687471,13.687471,13.687471,13.687471,13.687471,13.687471,13.687471,13.687471,13.687471,13.687471"
11001011,"8.125743,8.125743,8.125743,8.125743,8.125743,8.125743,8.125743,8.125743,8.125743,8.125743"
11001100,"4.667649,4.667649,4.667649,4.667649,4.667649,4.667649,4.667649,4.667649,4.667649,4.667649"
11001101,"-0.894080,-0.894080,-0.894080,-0.894080,-0.894080,-0.894080,-0.894080,-0.894080,-0.894080,-0.894080"
11001110,"3.366291,3.366291,3.366291,3.366291,3.366291,3.366291,3.366291,3.366291,3.366291,3.366291"
11001111,"-2.195437,-2.195437,-2.195437,-2.195437,-2.195437,-2.195437,-2.195437,-2.195437,-2.195437,-2.195437"
11010000,"7.605659,7.605659,7.605659,7.605659,7.605659,7.605659,7.605659,7.605659,7.605659,7.605659"
11010001,"2.043931,2.043931,2.043931,2.043931,2.043931,2.043931,2.043931,2.043931,2.043931,2.043931"
11010010,"6.304302,6.304302,6.304302,6.304302,6.304302,6.304302,6.304302,6.304302,6.304302,6.304302"
11010011,"0.742573,0.742573,0.742573,0.742573,0.742573,0.742573,0.742573,0.742573,0.742573,0.742573"
11010100,"-2.715521,-2.715521,-2.715521,-2.715521,-2.715521,-2.715521,-2.715521,-2.715521,-2.715521,-2.715521"
11010101,"-8.277249,-8.277249,-8.277249,-8.277249,-8.277249,-8.277249,-8.277249,-8.277249,-8.277249,-8.277249"
11010110,"-4.016879,-4.016879,-4.016879,-4.016879,-4.016879,-4.016879,-4.016879,-4.016879,-4.016879,-4.016879"
11010111,"-9.578607,-9.578607,-9.578607,-9.578607,-9.578607,-9.578607,-9.578607,-9.578607,-9.578607,-9.578607"
11011000,"6.711517,6.711517,6.711517,6.711517,6.711517,6.711517,6.711517,6.711517,6.711517,6.711517"
11011001,"1.149789,1.149789,1.149789,1.149789,1.149789,1.149789,1.149789,1.149789,1.149789,1.149789"
11011010,"5.410160,5.410160,5.410160,5.410160,5.410160,5.410160,5.410160,5.410160,5.410160,5.410160"
11011011,"-0.151568,-0.151568,-0.151568,-0.151568,-0.151568,-0.151568,-0.151568,-0.151568,-0.151568,-0.151568"
11011100,"-3.609663,-3.609663,-3.609663,-3.609663,-3.609663,-3.609663,-3.609663,-3.609663,-3.609663,-3.609663"
11011101,"-9.171391,-9.171391,-9.171391,-9.171391,-9.171391,-9.171391,-9.171391,-9.171391,-9.171391,-9.171391"
11011110,"-4.911020,-4.911020,-4.911020,-4.911020,-4.911020,-4.911020,-4.911020,-4.911020,-4.911020,-4.911020"
11011111,"-10.472749,-10.472749,-10.472749,-10.472749,-10.472749,-10.472749,-10.472749,-10.472749,-10.472749,-10.472749"
11100000,"10.505946,10.505946,10.505946,10.505946,10.505946,10.505946,10.505946,10.505946,10.505946,10.505946"
11100001,"4.944218,4.944218,4.944218,4.944218,4.944218,4.944218,4.944218,4.944218,4.944218,4.944218"
11100010,"9.204589,9.204589,9.204589,9.204589,9.204589,9.204589,9.204589,9.204589,9.204589,9.204589"
11100011,"3.642860,3.642860,3.642860,3.642860,3.642860,3.642860,3.642860,3.642860,3.642860,3.642860"
11100100,"0.184766,0.184766,0.184766,0.184766,0.184766,0.184766,0.184766,0.184766,0.184766,0.184766"
